target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed
SARS coronavirus 3C-like proteinase,CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,inactive,421.19000000000005,2.6605000000000008,0.0,4.0,4.8696662315049934
SARS coronavirus 3C-like proteinase,CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,inactive,293.34700000000004,3.6308000000000016,0.0,3.0,4.882397308309916
SARS coronavirus 3C-like proteinase,CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,active,372.24300000000005,4.393300000000003,0.0,3.0,6.008773924307505
SARS coronavirus 3C-like proteinase,CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,active,419.24300000000005,4.235400000000002,0.0,3.0,6.022276394711152
SARS coronavirus 3C-like proteinase,CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,inactive,327.7920000000001,4.284200000000002,0.0,3.0,4.950781977329818
SARS coronavirus 3C-like proteinase,CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,inactive,445.28100000000006,4.748600000000002,0.0,3.0,4.628932137728263
SARS coronavirus 3C-like proteinase,CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,inactive,522.7510000000001,4.987900000000002,1.0,4.0,4.900664722314042
SARS coronavirus 3C-like proteinase,CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,inactive,480.327,3.708300000000003,0.0,4.0,4.756961951313706
SARS coronavirus 3C-like proteinase,CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,inactive,580.6820000000004,2.685820000000001,3.0,8.0,4.346787486224656
SARS coronavirus 3C-like proteinase,CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,558.6760000000003,2.7994200000000014,3.0,8.0,4.154901959985743
SARS coronavirus 3C-like proteinase,CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,0.0,2.0,4.180456064458132
SARS coronavirus 3C-like proteinase,CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.343,2.668200000000001,1.0,3.0,6.431798275933005
SARS coronavirus 3C-like proteinase,CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.283,1.515,1.0,3.0,4.903089986991944
SARS coronavirus 3C-like proteinase,CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,246.266,1.1148999999999998,1.0,3.0,4.721246399047171
SARS coronavirus 3C-like proteinase,CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,232.239,0.7248,1.0,3.0,4.6020599913279625
SARS coronavirus 3C-like proteinase,CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.185,-0.0554000000000002,1.0,3.0,4.1487416512809245
SARS coronavirus 3C-like proteinase,CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,inactive,363.15400000000005,3.020700000000001,0.0,2.0,4.301029995663981
