target_pref_name,molecule_chembl_id,canonical_smiles,pIC50,molecule,fingerprints,MolWt,LogP,NumHDonors,NumHAcceptors
SARS coronavirus 3C-like proteinase,CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,5.142667504,<rdkit.Chem.rdchem.Mol object at 0x000001AC759476F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC75947680>,281.271,1.89262,0.0,5.0
SARS coronavirus 3C-like proteinase,CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,5.026872146,<rdkit.Chem.rdchem.Mol object at 0x000001AC759475A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC75947610>,415.589,3.813200000000002,0.0,2.0
SARS coronavirus 3C-like proteinase,CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,4.869666232,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D230>,421.19000000000005,2.6605000000000008,0.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,4.882397308,<rdkit.Chem.rdchem.Mol object at 0x000001AC759477D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D310>,293.34700000000004,3.6308000000000016,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],5.698970004,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947840>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D2A0>,338.3440000000001,3.5390000000000024,0.0,5.0
SARS coronavirus 3C-like proteinase,CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,6.008773924,<rdkit.Chem.rdchem.Mol object at 0x000001AC759478B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D3F0>,372.24300000000005,4.393300000000003,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,5.316952962,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947920>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D460>,311.33700000000005,3.7699000000000016,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,6.022276395,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D4D0>,419.24300000000005,4.235400000000002,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,4.950781977,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947A00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D540>,327.7920000000001,4.284200000000002,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,4.628932138,<rdkit.Chem.rdchem.Mol object at 0x000001AC75947A70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AC7598D5B0>,445.28100000000006,4.748600000000002,0.0,3.0
